location,type,minF,maxF,duration,bandwidth,Fi,Ff
spsp,5,7936.00,22050.00,1.59,14113.60,19022.70,7936.40
spsp,5,9572.70,20004.50,1.35,10431.80,20004.50,9572.70
spsp,5,9696.00,22009.00,1.46,12313.60,22009.10,9695.50
spsp,5,9123.00,12109.00,0.85,2986.40,11086.00,11700.00
spsp,5,8673.00,12109.00,0.90,3436.40,11168.00,10473.00
spsp,5,9205.00,12232.00,0.79,3027.30,11496.00,12109.00
spsp,5,9286.40,12150.00,0.82,2863.60,10677.00,12027.00
spsp,5,7159.00,12191.00,0.86,5031.80,10677.00,11005.00
spsp,5,9900.00,12027.00,0.86,2127.30,11455.00,11168.00
spsp,5,5114.00,12232.00,1.04,7118.20,11455.00,5114.00
spsp,5,6095.50,12436.40,1.01,6340.90,10923.00,9941.00
spsp,5,6095.50,11986.40,0.94,5890.90,11209.10,6096.00
spsp,5,8386.00,11863.60,1.07,3477.30,9573.00,9859.00
spsp,5,6791.00,12150.00,0.98,5359.10,9450.00,10023.00
spsp,5,8672.70,11986.40,0.97,3313.60,10677.00,8673.00
spsp,5,7281.80,12150.00,0.94,4868.20,11414.00,10268.00
spsp,5,6546.00,12232.00,0.98,5686.40,11209.10,6545.50
spsp,5,7118.00,12354.50,1.02,5236.40,11005.00,10064.00
spsp,5,7568.00,12190.90,1.11,4622.70,9736.00,7568.00
spsp,5,7200.00,12109.10,1.03,4909.10,10636.00,8632.00
spsp,5,6586.00,12068.00,0.96,5481.80,9859.10,9900.00
spsp,5,6709.00,12355.00,0.98,5645.50,9532.00,9777.00
spsp,5,7241.00,12150.00,1.06,4909.10,10146.00,7241.00
spsp,5,8713.60,12109.10,0.86,3395.50,11209.10,10636.00
spsp,5,7896.00,12313.60,0.93,4418.20,11496.00,7896.00
spsp,5,8631.80,12231.80,0.94,3600.00,11005.00,8631.80
spsp,5,6709.10,12150.00,1.01,5440.90,10636.00,6709.10
spsp,3,4809.00,11533.00,1.07,6723.60,6545.50,4808.90
spsp,1,6367.00,10998.10,0.60,4630.80,6367.00,10998.00
spsp,2,4719.90,12111.30,0.77,7391.50,12111.00,4720.00
spsp,3,5521.30,12779.20,0.92,7257.90,6189.00,5521.00
spsp,3,5477.00,13492.00,0.88,8014.80,7392.00,5477.00
spsp,2,6411.90,11577.00,0.45,5165.10,11577.00,6411.90
spsp,3,5654.90,12289.40,0.81,6634.50,10419.30,5654.90
spsp,3,5165.10,12244.90,0.92,7079.80,5165.10,5165.10
spsp,2,6456.40,12289.40,0.43,5833.00,12289.40,6456.40
spsp,2,7570.00,23510.20,1.01,15940.60,23510.20,7570.00
spsp,2,6456.00,18745.80,1.12,12289.40,18745.80,6456.00
spsp,2,8905.00,21863.00,1.18,12957.30,21863.00,8905.00
spsp,3,6902.00,17009.00,0.62,10107.60,6902.00,13580.70
spsp,2,8282.00,17187.40,0.56,8905.40,17187.40,8282.00
spsp,2,6144.70,11755.10,0.41,5610.40,11755.10,6144.70
spsp,1,6055.70,11354.40,0.66,5298.70,6055.70,11354.40
spsp,2,8326.50,16831.20,0.78,8504.60,16831.20,8326.50
spsp,2,6456.40,22530.60,1.08,16074.20,22530.60,6456.40
spsp,2,6100.20,14649.40,0.69,8549.20,14649.40,6100.20
spsp,2,7792.20,20304.30,1.26,12512.10,20304.30,7792.20
spsp,2,8371.10,16118.70,0.60,7747.70,16118.70,8371.10
spsp,2,7213.40,15005.60,0.78,7792.20,15005.60,7213.40
spsp,2,8771.80,23732.80,1.12,14961.00,23732.80,8771.80
spsp,2,6634.50,22352.50,0.91,15718.00,22352.50,6634.50
spsp,2,6367.30,18033.40,0.86,11666.00,18033.40,6367.30
spsp,2,10107.60,20126.20,0.67,10018.60,20126.20,10107.60
spsp,2,8282.00,21862.70,0.86,13580.70,21862.70,8282.00
spsp,2,10641.90,22842.30,0.86,12200.40,22842.30,10641.90
spsp,2,7124.00,17988.90,0.70,10864.60,17988.90,7124.00
spsp,2,11799.60,20304.30,0.50,8504.60,20304.30,11799.60
spsp,2,6145.00,14026.00,0.48,7881.30,14026.00,6145.00
spsp,2,9795.90,19725.40,0.77,9929.50,19725.40,9795.90
spsp,3,8237.50,11176.30,0.41,2938.80,8237.50,8237.50
spsp,5,6278.30,15762.50,1.52,9484.20,8326.50,6278.30
spsp,1,6812.60,14693.90,0.25,7881.30,6812.60,14693.90
spsp,2,4675.30,14471.20,0.56,9795.90,14471.20,4675.30
spsp,2,5476.80,18745.80,0.69,13269.00,18745.80,5476.80
spsp,2,9261.60,16786.60,0.42,6990.70,16786.60,9261.60
spsp,5,6278.30,16608.50,1.37,10330.20,16608.50,6278.30
spsp,5,5788.50,20215.20,1.36,14426.70,16564.00,5788.50
spsp,2,10597.40,24000.00,0.96,13402.60,24000.00,10597.40
spsp,2,10909.10,20348.80,0.66,9439.70,20348.80,10909.10
spsp,2,11889.00,22708.70,0.75,10820.00,22708.70,11889.00
spsp,5,6011.10,22842.30,1.67,16831.20,21951.80,6011.10
spsp,5,9662.30,21684.60,2.73,12022.30,21684.60,12022.30
spsp,5,8994.40,21996.30,2.36,13001.90,14471.00,8994.40
spsp,2,5388.00,12734.70,0.60,7346.90,12734.70,5388.00
spsp,3,6322.80,14827.50,0.89,8504.60,6322.80,6322.80
spsp,2,6723.60,14248.60,0.63,7525.00,14248.60,6723.60
spsp,2,10820.00,17899.80,0.40,7079.80,17899.80,10820.00
spsp,2,17410.00,23866.40,0.30,6456.40,23866.40,17410.00
spsp,3,6634.50,11398.90,0.79,4764.40,6634.50,6634.50
spsp,3,6011.00,11666.00,0.99,5654.90,6946.20,6011.00
spsp,5,6546.00,19993.00,1.12,13447.10,17454.50,6546.00
spsp,2,8727.00,13358.00,0.99,4630.80,12734.70,8727.00
spsp,1,6768.10,12645.60,0.59,5877.60,6768.10,12645.60
spsp,2,7659.00,14738.40,0.49,7079.80,14738.40,7659.00
spsp,2,7703.00,14204.10,0.42,6500.90,14204.10,7703.00
spsp,3,6145.00,12156.00,0.64,6011.10,8949.90,6145.00
spsp,3,7525.00,15361.80,0.65,7836.70,7525.00,7525.00
spsp,3,14694.00,24000.00,0.49,9306.10,14738.00,19547.30
spsp,3,14916.50,21551.00,0.26,6634.50,16029.70,14916.50
spsp,1,12245.00,20037.10,0.13,7792.20,12245.00,20037.10
spsp,1,15228.00,21907.00,0.12,6679.00,15228.00,21907.00
spsp,3,15674.00,20616.00,0.13,4942.50,15674.00,18701.30
spsp,2,8861.00,11176.00,0.37,2315.40,11176.00,8861.00
spsp,1,7659.00,10909.00,0.39,3250.50,7659.00,10909.00
spsp,5,5789.00,14783.00,1.93,8994.40,8192.90,8994.40
spsp,3,8505.00,13936.90,0.69,5432.30,8505.00,9439.70
spsp,2,5610.40,14026.00,0.70,8415.60,14026.00,5610.40
spsp,5,6144.70,11398.90,2.12,5254.20,10686.50,6144.70
spsp,5,4497.20,15139.10,1.23,10641.90,12334.00,4497.20
spsp,5,5432.00,17766.20,0.92,12334.00,5432.00,6367.30
spsp,5,4853.40,18256.00,0.88,13402.60,4853.40,5521.30
spsp,5,5254.20,17721.70,0.85,12467.50,5254.20,6100.20
spsp,3,10953.60,18345.10,0.25,7391.50,10953.60,12066.80
spsp,2,8949.90,14382.20,0.71,5432.30,14382.20,8949.90
spsp,2,6100.00,8015.00,0.41,1914.70,8015.00,6100.00
spsp,4,6902.00,10553.00,0.46,3651.20,10553.00,8415.60
spsp,1,4274.60,12823.70,1.71,8549.20,4274.60,12334.00
spsp,3,6411.90,15361.80,0.34,8949.90,6411.90,13625.20
spsp,1,4275.00,12868.30,0.68,8593.70,4275.00,12868.30
spsp,1,4185.50,12244.90,0.55,8059.40,4185.50,12244.90
spsp,2,11265.30,13402.60,0.87,2137.30,13402.60,11265.30
spsp,2,10419.30,14604.80,0.83,4185.50,14604.80,10419.30
spsp,2,10108.00,12646.00,1.02,2538.00,12646.00,10108.00
spsp,1,12557.00,16341.00,0.22,3784.80,12557.00,16341.00
spsp,3,9573.30,16564.00,0.26,6990.70,9573.30,12779.20
spsp,3,4630.80,15584.40,0.48,10953.60,9840.40,4630.80
spsp,1,6322.80,13758.80,0.56,7436.00,6322.80,13758.80
spsp,3,6590.00,13625.20,0.77,7035.30,6590.00,11666.00
spsp,1,12022.30,14649.40,0.48,2627.10,12022.30,14649.40
spsp,3,5967.00,15495.40,0.57,9528.80,7614.10,5967.00
spsp,3,8460.10,15851.60,0.40,7391.50,8460.10,9662.30
spsp,2,5477.00,12957.30,0.52,7480.50,12957.30,5477.00
spsp,2,4853.40,8593.70,0.71,3740.30,8593.70,4853.40
spsp,2,5032.00,8371.10,0.70,3339.50,8371.10,5032.00
spsp,2,5076.00,10063.10,0.72,4987.00,10063.10,5076.00
spsp,3,4853.40,14649.40,0.69,9795.90,4853.40,9083.50
spsp,3,4319.10,15005.60,0.66,10686.50,4319.10,5966.60
spsp,5,4185.50,15317.30,1.33,11131.70,4185.50,4853.40
spsp,2,5121.00,8727.00,0.77,3606.70,8727.00,5121.00
spsp,2,4096.50,12066.80,0.59,7970.30,12066.80,4096.50
spsp,1,4363.60,10241.20,0.34,5877.60,4363.60,10241.20
spsp,5,5298.70,12155.80,0.76,6857.10,12155.80,5298.70
spsp,3,5209.60,12690.20,2.23,7480.50,5209.60,6055.70
spsp,1,6189.20,13936.90,0.65,7747.70,6189.20,13936.90
spsp,5,5610.40,12868.30,0.75,7257.90,12868.30,5610.40
spsp,5,4987.00,12378.50,0.54,7391.50,12378.50,4987.00
spsp,5,5789.00,12690.20,0.72,6901.70,12690.20,5789.00
spsp,5,5298.70,12467.50,0.48,7168.80,12467.50,5298.70
spsp,5,6812.60,12556.60,0.68,5744.00,12556.60,6812.60
spsp,5,8549.20,16653.10,1.56,8103.90,15985.00,9662.30
spsp,5,10063.10,16608.50,0.65,6545.50,15183.70,14204.10
spsp,5,5298.70,12556.60,1.13,7257.90,8059.40,5298.70
spsp,5,5299.00,12556.60,1.03,7257.90,12556.60,5299.00
spsp,5,4452.70,15985.20,1.66,11532.50,4452.70,4452.70
spsp,5,7035.30,12512.10,0.95,5476.80,12512.10,7035.30
spsp,5,4408.00,16430.40,1.52,12022.30,4408.00,5076.10
spsp,5,4898.00,12556.60,0.67,7658.60,12556.60,4898.00
spsp,5,5121.00,16163.30,0.95,11042.70,6456.40,5121.00
spsp,5,5165.00,12824.00,1.03,7658.60,12824.00,5165.00
spsp,5,5476.80,12645.60,1.04,7168.80,12645.60,5476.80
spsp,5,4987.00,12957.30,0.51,7970.30,10641.90,4987.00
spsp,5,6055.70,12645.60,0.69,6590.00,12645.60,6055.70
spsp,5,4764.00,12645.60,1.11,7881.30,12645.60,4764.00
spsp,1,5076.00,13090.90,0.65,8014.80,5076.00,13090.90
spsp,1,5610.00,12823.70,0.51,7213.40,5610.00,12823.70
spsp,1,5699.00,13090.90,0.62,7391.50,5699.00,13090.90
spsp,2,4898.00,12957.30,0.51,8059.40,12957.30,4898.00
spsp,5,5165.10,12378.50,0.77,7213.40,7480.50,5165.10
spsp,3,4453.00,13001.90,2.15,8549.20,4453.00,6634.50
spsp,5,5788.50,15940.60,1.60,10152.10,8949.90,5788.50
spsp,5,5744.00,12823.70,0.74,7079.80,9617.80,5744.00
spsp,5,4987.00,13001.90,0.76,8014.80,13001.90,4987.00
spsp,5,4942.50,15762.50,1.19,10820.00,7391.50,4942.50
spsp,5,5209.60,16385.90,1.03,11176.30,5209.60,6857.10
spsp,3,4987.00,13313.50,1.10,8326.50,4987.00,5477.00
spsp,3,4631.00,13314.00,1.02,8682.70,4631.00,5387.80
spsp,5,5031.50,12556.60,0.91,7525.00,12556.60,5031.50
spsp,5,4898.00,12779.20,0.54,7881.30,4898.00,4898.00
spsp,5,6144.70,12601.10,0.57,6456.40,8371.10,6144.70
spsp,5,5476.80,15584.40,0.71,10107.60,11087.20,15584.40
spsp,5,8238.00,19903.50,0.89,11666.00,19903.50,8238.00
spsp,5,7970.30,21150.30,0.91,13180.00,15628.90,13090.90
spsp,5,6634.50,12779.20,0.54,6144.70,6634.50,11443.40
spsp,5,5744.00,22218.90,0.70,16475.00,14693.90,5744.00
spsp,5,7614.10,22441.60,0.72,14827.50,16964.70,7614.10
spsp,5,4051.90,13046.40,0.67,8994.40,13046.40,4051.90
spsp,5,5476.80,12512.10,1.11,7035.30,9128.00,5476.80
spsp,5,5254.00,13447.10,0.83,8192.90,6812.60,5254.00
spsp,5,5477.00,12868.30,1.04,7391.50,6946.20,5477.00
spsp,5,5343.00,13046.40,0.51,7703.20,7480.50,5343.00
spsp,5,5610.00,12735.00,0.93,7124.30,7079.80,5610.00
spsp,5,5343.20,13090.90,0.91,7747.70,11443.40,5343.20
spsp,3,4764.40,16742.10,0.58,11977.70,4764.40,6634.50
spsp,5,5388.00,16074.00,1.65,10686.50,5388.00,7391.50
spsp,5,5521.30,12334.00,0.68,6812.60,12334.00,5521.30
spsp,5,5565.90,16475.00,1.19,10909.10,5565.90,7302.40
spsp,5,5254.00,12512.00,0.83,7257.90,7436.00,5254.00
spsp,5,4453.00,12067.00,0.49,7614.10,11265.30,4453.00
spsp,3,5477.00,15762.50,0.65,10285.70,5477.00,8326.50
spsp,5,8193.00,12468.00,0.45,4274.60,8193.00,8193.00
spsp,5,5922.00,13803.00,0.80,7881.30,6634.50,5922.00
spsp,5,5566.00,12512.00,0.97,6946.20,7703.20,5566.00
spsp,5,4542.00,16609.00,1.34,12066.80,4542.00,4542.00
spsp,5,4808.90,16920.20,1.12,12111.30,4808.90,11087.20
spsp,1,8371.00,13002.00,0.63,4630.80,8371.00,13002.00
spsp,5,5877.60,15851.60,0.68,9974.00,5877.60,8905.40
spsp,2,5521.00,8861.00,0.96,3339.50,8861.00,5521.00
spsp,2,5343.20,7213.40,0.72,1870.10,7213.40,5343.20
spsp,2,5165.00,7881.00,1.40,2716.10,7881.00,5165.00
spsp,2,5254.00,7347.00,0.76,2092.80,7347.00,5254.00
spsp,2,5209.60,7836.70,0.75,2627.10,7836.70,5209.60
spsp,2,5076.00,10241.00,0.85,5165.10,10241.00,5076.00
spsp,2,5521.30,9573.30,0.99,4051.90,9573.30,5521.30
spsp,2,5076.10,11354.40,1.14,6278.30,11354.40,5076.10
spsp,2,4898.00,9039.00,0.97,4141.00,9039.00,4898.00
spsp,2,5031.50,8682.70,0.79,3651.20,8682.70,5031.50
spsp,2,5521.30,10731.00,0.83,5209.60,10731.00,5521.30
spsp,3,5032.00,13670.00,0.87,8638.20,5032.00,5032.00
spsp,3,5476.80,14293.10,0.77,8816.30,6011.10,5476.80
spsp,3,5254.20,12823.70,0.89,7569.60,7079.80,5254.20
spsp,3,5343.20,13981.40,0.91,8638.20,6857.10,5343.20
spsp,3,5432.30,13847.90,0.93,8415.60,5432.30,5432.30
spsp,3,5121.00,16519.50,1.12,11398.90,5121.00,5121.00
spsp,3,5343.20,13491.70,1.22,8148.40,5343.20,5343.20
spsp,3,5165.10,14159.60,0.92,8994.40,5165.10,5165.10
spsp,3,4987.00,13936.90,1.01,8949.90,4987.00,4987.00
spsp,3,5254.00,14649.40,0.78,9395.20,6545.50,5254.00
spsp,3,5209.60,13892.40,0.70,8682.70,5209.60,5209.60
spsp,3,5032.00,14159.60,0.96,9128.00,5032.00,5032.00
spsp,3,4720.00,16119.00,0.32,11398.90,5788.50,4720.00
spsp,3,5343.00,13090.90,0.63,7747.70,5343.00,5343.00
spsp,3,5343.00,14070.50,1.07,8727.30,8504.60,5343.00
spsp,3,5076.00,13937.00,0.81,8860.90,5076.00,5076.00
spsp,3,5209.60,12734.70,0.86,7525.00,5209.60,5209.60
spsp,3,5076.10,14649.40,1.08,9573.30,5076.10,5076.10
spsp,3,4675.30,14248.60,0.79,9573.30,4675.30,4675.30
spsp,3,4853.40,13402.60,0.81,8549.20,6100.20,4853.40
spsp,3,5076.10,14426.70,0.95,9350.60,7213.40,5076.10
spsp,3,4898.00,13625.00,0.82,8727.30,5966.60,4898.00
spsp,3,4987.00,13447.10,1.06,8460.10,6545.50,4987.00
spsp,3,5343.20,12823.70,0.96,7480.50,5343.20,5343.20
spsp,3,5165.00,13937.00,1.04,8771.80,5165.00,5165.00
spsp,3,5120.60,13714.30,0.89,8593.70,5120.60,5120.60
spsp,3,5165.00,14516.00,0.78,9350.60,6946.20,5165.00
spsp,3,5343.20,12467.50,0.75,7124.30,7926.00,5343.20
spsp,3,4898.00,13848.00,0.97,8949.90,6189.20,4898.00
spsp,5,4630.80,11532.50,0.67,6901.70,10820.00,4630.80
spsp,5,6278.00,12957.00,0.70,6679.00,8504.60,6278.00
spsp,5,5833.00,13580.70,0.52,7747.70,13580.70,5833.00
spsp,5,5432.30,12467.50,0.80,7035.30,10998.10,5432.30
spsp,5,6456.40,13447.10,0.67,6990.70,8816.30,13447.10
spsp,5,5833.00,12067.00,0.82,6233.80,8059.00,5833.00
spsp,5,5566.00,14560.00,0.54,8994.40,11176.30,5566.00
spsp,3,8771.80,20259.70,0.86,11487.90,8771.80,15317.30
spsp,3,4808.90,13313.50,1.88,8504.60,4808.90,5966.60
spsp,3,4719.90,12823.70,1.72,8103.90,4719.90,8282.00
spsp,1,4719.90,12823.70,1.46,8103.90,4719.90,12823.70
spsp,1,4274.60,12734.70,1.24,8460.10,4274.60,12734.70
spsp,1,4630.80,13491.70,1.20,8860.90,4630.80,13491.70
spsp,3,4675.30,12912.80,1.06,8237.50,4675.30,10552.90
spsp,3,4808.90,12601.10,2.42,7792.20,4808.90,5833.00
spsp,2,4853.40,16831.20,1.20,11977.70,16831.20,4853.40
spsp,3,3918.40,12645.60,1.91,8727.00,3918.40,5699.40
spsp,5,5477.00,12111.00,0.94,6634.50,11443.40,5477.00
spsp,2,5833.00,14471.00,0.31,8638.20,14471.00,5833.00
spsp,1,4764.40,12868.30,0.86,8103.90,4764.40,12868.30
spsp,3,5922.10,12957.30,1.63,7035.30,5922.10,6500.90
spsp,2,6679.00,16029.70,1.16,9350.60,16029.70,6679.00
spsp,1,6723.60,13180.00,1.03,6456.40,6723.60,13180.00
spsp,5,5565.90,11532.50,1.23,5966.60,8905.40,11532.50
spsp,3,5610.40,11220.80,1.32,5610.40,5610.40,5610.40
spsp,3,4630.80,10998.10,1.02,6367.30,5432.30,4630.80
spsp,2,8326.50,13313.50,1.06,4987.00,13313.50,8326.50
spsp,2,6590.00,20393.30,1.22,13803.30,20393.30,6590.00
spsp,4,10419.00,22441.60,1.00,12022.30,22441.60,13536.20
spsp,2,9484.00,18033.00,1.00,8549.20,18033.00,9484.00
spsp,2,9930.00,19815.00,0.58,9885.00,19815.00,9930.00
spsp,2,10686.50,19814.50,0.45,9128.00,19814.50,10686.50
spsp,2,9084.00,20126.00,0.64,11042.70,20126.00,9084.00
spsp,2,6812.60,23866.40,0.65,17053.80,23866.40,6812.60
spsp,2,5610.40,19324.70,1.09,13714.30,19324.70,5610.40
spsp,3,4453.00,10998.10,1.22,6545.50,5744.00,4453.00
spsp,2,11309.80,16875.70,0.29,5565.90,16875.70,11309.80
spsp,2,8549.20,19413.70,0.48,10864.60,19413.70,8549.20
spsp,2,8950.00,20215.00,0.44,11265.30,20215.00,8950.00
spsp,2,8549.20,23421.20,0.66,14872.00,23421.20,8549.20
spsp,2,9573.00,22931.40,0.72,13358.10,22931.40,9573.00
spsp,2,5299.00,23288.00,0.82,17988.90,23288.00,5299.00
spsp,2,9706.90,19057.50,0.62,9350.60,19057.50,9706.90
spsp,2,7614.10,20616.00,0.91,13001.90,20616.00,7614.10
spsp,2,11710.60,19413.70,0.62,7703.20,19413.70,11710.60
spsp,2,9430.20,21631.30,0.65,12201.10,21631.30,9430.20
spsp,2,9743.00,22748.60,0.81,13005.60,22748.60,9743.00
spsp,2,11888.30,23776.50,0.71,11888.30,23776.50,11888.30
spsp,3,5121.00,15005.60,0.51,9885.00,5121.00,9306.10
spsp,3,5298.70,16252.30,0.47,10953.60,5298.70,5298.70
spsp,5,5476.80,16163.30,1.26,10686.50,5476.80,5476.80
spsp,2,10063.10,23599.30,0.62,13536.20,23599.30,10063.10
spsp,5,7792.00,23064.90,1.12,15272.70,23064.90,7792.00
spsp,2,4675.30,7925.80,0.69,3250.50,7925.80,4675.30
spsp,2,5165.10,23376.60,0.97,18211.50,23376.60,5165.10
spsp,2,7080.00,19725.40,0.46,12645.60,19725.40,7080.00
spsp,5,9217.10,20749.50,0.61,11532.50,19013.00,11666.00
spsp,2,5210.00,13759.00,0.73,8549.20,13759.00,5210.00
spsp,5,7436.00,19636.40,0.40,12200.40,19636.40,7436.00
spsp,2,4853.00,12423.00,0.69,7569.60,12423.00,4853.00
spsp,2,4230.00,19725.40,1.15,15495.40,19725.40,4230.00
spsp,5,14961.00,24000.00,0.40,9039.00,20838.60,14961.00
spsp,2,15317.30,22842.30,0.32,7525.00,22842.30,15317.30
spsp,1,6055.70,12912.80,0.66,6857.10,6055.70,12912.80
spsp,5,12155.80,23599.30,0.59,11443.40,23599.30,12155.80
spsp,1,5476.80,12512.10,0.53,7035.30,5476.80,12512.10
spsp,3,9706.90,11621.50,0.71,1914.70,9706.90,9706.90
spsp,3,7436.00,11487.90,0.94,4051.90,8192.90,7436.00
spsp,3,6367.30,11888.70,1.07,5521.30,9172.50,6367.30
spsp,3,7124.30,12111.30,1.03,4987.00,9039.00,7124.30
spsp,2,5032.00,10374.80,0.80,5343.20,10374.80,5032.00
spsp,2,5121.00,9930.00,0.63,4808.90,9930.00,5121.00
spsp,5,15139.10,23643.80,1.05,8504.60,15139.10,17677.20
spsp,5,11844.20,20883.10,0.57,9039.00,20883.10,12912.80
spsp,2,4186.00,7481.00,0.71,3295.00,7481.00,4186.00
spsp,3,10286.00,21729.10,0.39,11443.40,15495.40,10286.00
spsp,2,8727.00,17588.10,0.63,8860.90,17588.10,8727.00
spsp,1,12022.30,15317.30,0.43,3295.00,12022.30,15317.30
spsp,2,5209.60,8237.50,0.47,3027.80,8237.50,5209.60
spsp,2,5254.00,9039.00,0.69,3784.80,9039.00,5254.00
spsp,2,4630.80,7658.60,0.75,3027.80,7658.60,4630.80
spsp,1,3829.30,11844.20,0.34,8014.80,3829.30,11844.20
spsp,3,5477.00,13937.00,0.68,8460.10,11977.70,5477.00
spsp,2,5031.50,13135.40,0.64,8103.90,13135.40,5031.50
spsp,2,4675.30,12512.10,0.41,7836.70,12512.10,4675.30
spsp,2,5031.50,14471.20,0.57,9439.70,14471.20,5031.50
spsp,2,5298.70,13001.90,0.51,7703.20,13001.90,5298.70
spsp,2,4943.00,11310.00,0.48,6367.30,11310.00,4943.00
spsp,1,4675.30,10241.20,0.49,5565.90,4675.30,10241.20
spsp,3,6278.30,12690.20,0.59,6411.90,10375.00,6278.30
spsp,2,5565.90,13536.20,0.79,7970.30,13536.20,5565.90
spsp,2,4764.00,12200.40,0.60,7436.00,12200.40,4764.00
spsp,2,12067.00,21907.20,1.16,9840.40,21907.20,12067.00
spsp,1,6011.00,15584.40,1.51,9573.30,6011.00,15584.40
spsp,1,5299.00,13759.00,0.41,8460.10,5299.00,13759.00
spsp,3,8326.50,14159.60,1.77,5833.00,8326.50,10330.20
spsp,3,9618.00,14337.70,1.11,4719.90,10775.50,9618.00
spsp,3,8059.40,15807.10,1.71,7747.70,8059.40,9083.50
spsp,3,7124.00,16252.30,1.35,9128.00,7124.00,11176.30
spsp,3,9795.90,16742.10,0.96,6946.20,13090.90,9795.90
spsp,1,6100.00,16386.00,0.34,10285.70,6100.00,16386.00
spsp,1,7035.30,12066.80,0.28,5031.50,7035.30,12066.80
spsp,1,6367.30,14693.90,0.43,8326.50,6367.30,14693.90
spsp,1,10775.50,18256.00,0.36,7480.50,10775.50,18256.00
spsp,1,4497.00,13224.50,0.53,8727.30,4497.00,13224.50
spsp,2,5432.30,12601.10,1.00,7168.80,12601.10,5432.30
spsp,2,5699.40,14115.00,0.88,8415.60,14115.00,5699.40
spsp,2,8059.40,14026.00,0.41,5966.60,14026.00,8059.40
spsp,2,6679.00,11977.70,0.42,5298.70,11977.70,6679.00
spsp,2,7302.00,13981.40,0.41,6679.00,13981.40,7302.00
spsp,2,5209.60,14070.50,0.82,8860.90,14070.50,5209.60
spsp,1,7124.30,15183.70,0.30,8059.40,7124.30,15183.70
spsp,2,5432.30,13001.90,0.86,7569.60,13001.90,5432.30
spsp,2,7837.00,12912.80,0.35,5076.10,12912.80,7837.00
spsp,2,6768.10,13046.40,0.43,6278.30,13046.40,6768.10
spsp,3,8860.90,16920.20,0.85,8059.40,8860.90,11220.80
spsp,2,4586.30,12155.80,1.02,7569.60,12155.80,4586.30
spsp,3,6011.10,15762.50,1.37,9751.40,6011.10,6011.10
spsp,3,5744.00,17142.90,0.61,11398.90,5744.00,10775.50
spsp,1,5031.50,17187.40,0.49,12155.80,5031.50,17187.40
spsp,1,6233.80,15005.60,0.36,8771.80,6233.80,15005.60
spsp,3,5120.60,15050.10,1.37,9929.50,5120.60,7836.70
spsp,3,5922.10,17321.00,0.40,11398.90,5922.10,15539.90
spsp,3,4719.90,15361.80,1.35,10641.90,4719.90,7658.60
spsp,1,6100.20,13625.20,0.42,7525.00,6100.20,13625.20
spsp,3,6679.00,14872.00,0.40,8192.90,6679.00,10419.30
spsp,3,6322.80,14738.40,0.55,8415.60,6322.80,7302.40
spsp,1,5120.60,11888.70,0.42,6768.10,5120.60,11888.70
spsp,3,5833.00,20304.30,0.54,14471.20,5833.00,10196.70
spsp,3,4764.00,15673.50,0.69,10909.10,4764.00,9706.90
spsp,1,7257.90,14026.00,0.30,6768.10,7257.90,14026.00
spsp,3,3517.60,17721.70,0.54,14204.10,3517.60,10552.90
spsp,1,4586.30,18033.40,0.40,13447.10,4586.30,18033.40
spsp,3,5833.00,15094.60,0.58,9261.60,5833.00,5833.00
spsp,1,5966.60,17721.70,0.33,11755.10,5966.60,17721.70
spsp,1,5432.00,14426.70,0.44,8994.40,5432.00,14426.70
spsp,1,4453.00,11176.00,0.26,6723.60,4453.00,11176.00
spsp,1,6100.20,14159.60,0.34,8059.40,6100.20,14159.60
spsp,3,6500.90,15228.20,0.63,8727.30,6500.90,8014.80
spsp,3,6189.20,17231.90,0.45,11042.70,6189.20,7658.60
spsp,3,6500.90,16920.20,0.44,10419.30,6500.90,12690.20
spsp,3,4630.80,15406.30,0.81,10775.50,4630.80,4630.80
spsp,3,4808.90,16875.70,0.59,12066.80,4808.90,6723.60
spsp,3,5833.00,15896.10,0.46,10063.10,5833.00,7569.60
spsp,1,5254.20,12467.50,0.49,7213.40,5254.20,12467.50
spsp,1,6278.30,15450.80,0.43,9172.50,6278.30,15450.80
spsp,3,4809.00,14738.40,0.47,9929.50,4809.00,9039.00
spsp,3,6411.90,16207.80,0.43,9795.90,6411.90,9662.30
spsp,1,5788.50,13758.80,0.35,7970.30,5788.50,13758.80
spsp,1,6768.10,14515.80,0.30,7747.70,6768.10,14515.80
spsp,3,4809.00,16029.70,0.55,11220.80,4809.00,7213.40
spsp,3,6634.50,15317.30,0.48,8682.70,6634.50,10463.80
spsp,3,4230.00,15718.00,0.59,11487.90,6634.50,4230.00
spsp,1,4808.90,10775.50,0.27,5966.60,4808.90,10775.50
spsp,1,6590.00,11487.90,0.23,4898.00,6590.00,11487.90
spsp,1,5254.20,14560.30,0.46,9306.10,5254.20,14560.30
spsp,3,5076.10,14827.50,0.42,9751.40,5076.10,7569.60
spsp,1,5833.00,10597.40,0.32,4764.40,5833.00,10597.40
spsp,3,7970.30,15718.00,0.30,7747.70,11443.40,7970.30
spsp,2,5298.70,12200.40,0.94,6901.70,12200.40,5298.70
spsp,1,8994.40,16964.70,0.34,7970.30,8994.40,16964.70
spsp,1,5877.60,16074.20,1.40,10196.70,6723.60,5877.60
spsp,1,5655.00,16920.20,0.59,11265.30,5655.00,11532.50
